Date, Symbol, Series,"Open Price", High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
27-Aug-2018, ICICIBANK, EQ, 331.00, 342.30, 330.95,         339.80, 339.90, 28083933, 95149.83
24-Aug-2018, ICICIBANK, EQ, 334.40, 335.50, 327.30,         329.85, 330.15, 17805968, 58895.53
23-Aug-2018, ICICIBANK, EQ, 336.55, 338.70, 334.75,         336.00, 337.20, 18867868, 63563.70
21-Aug-2018, ICICIBANK, EQ, 338.30, 341.85, 334.05,         338.15, 338.85, 16009673, 54061.71
20-Aug-2018, ICICIBANK, EQ, 340.00, 342.45, 336.70,         337.90, 338.45, 13032778, 44248.97
17-Aug-2018, ICICIBANK, EQ, 336.80, 342.20, 335.85,         340.00, 340.00, 24090696, 81841.64
16-Aug-2018, ICICIBANK, EQ, 329.55, 339.20, 328.75,         335.85, 334.30, 37463597, 125737.75
14-Aug-2018, ICICIBANK, EQ, 324.70, 333.50, 324.70,         332.40, 332.45, 15314006, 50458.50
13-Aug-2018, ICICIBANK, EQ, 324.00, 327.45, 322.00,         325.90, 324.90, 15332907, 49805.33
10-Aug-2018, ICICIBANK, EQ, 334.05, 340.30, 325.35,         327.75, 328.60, 36321097, 120334.12
09-Aug-2018, ICICIBANK, EQ, 320.25, 345.85, 320.25,         332.00, 333.00, 76423347, 255810.92
08-Aug-2018, ICICIBANK, EQ, 313.00, 320.00, 308.25,         318.20, 318.70, 17916047, 56379.83
07-Aug-2018, ICICIBANK, EQ, 313.95, 318.15, 310.40,         313.50, 313.15, 20751145, 65288.28
06-Aug-2018, ICICIBANK, EQ, 306.95, 318.00, 306.80,         314.50, 315.10, 25849864, 81319.99
03-Aug-2018, ICICIBANK, EQ, 300.00, 306.75, 297.55,         306.00, 305.00, 14478902, 44031.26
02-Aug-2018, ICICIBANK, EQ, 295.00, 300.75, 294.10,         298.35, 298.55, 14089168, 41987.68
01-Aug-2018, ICICIBANK, EQ, 302.60, 305.65, 296.80,         297.00, 299.30, 15581508, 47019.32
31-Jul-2018, ICICIBANK, EQ, 304.30, 308.50, 302.20,         303.60, 304.25, 20824059, 63436.10
30-Jul-2018, ICICIBANK, EQ, 300.00, 308.45, 294.25,         307.50, 307.35, 56119080, 169829.50
27-Jul-2018, ICICIBANK, EQ, 284.90, 295.15, 282.20,         292.25, 293.20, 30926969, 89932.14
26-Jul-2018, ICICIBANK, EQ, 275.00, 286.50, 273.25,         284.30, 285.65, 36630780, 103908.73
25-Jul-2018, ICICIBANK, EQ, 273.00, 276.60, 272.25,         274.00, 274.65, 17947377, 49173.65
24-Jul-2018, ICICIBANK, EQ, 273.65, 277.90, 273.35,         274.00, 274.35, 12012225, 33030.34
23-Jul-2018, ICICIBANK, EQ, 265.35, 276.30, 265.35,         275.00, 275.55, 16917863, 46035.94
20-Jul-2018, ICICIBANK, EQ, 261.80, 267.70, 261.80,         265.80, 265.80, 13794388, 36668.72
19-Jul-2018, ICICIBANK, EQ, 263.95, 264.35, 259.40,         261.30, 261.20, 15145144, 39633.27
18-Jul-2018, ICICIBANK, EQ, 266.00, 267.35, 261.00,         264.00, 262.70, 22908592, 60382.12
17-Jul-2018, ICICIBANK, EQ, 260.25, 267.50, 260.00,         266.00, 266.45, 15128995, 39976.29
16-Jul-2018, ICICIBANK, EQ, 265.30, 266.60, 256.50,         258.20, 259.25, 29794402, 77340.72
13-Jul-2018, ICICIBANK, EQ, 273.00, 273.30, 266.05,         267.85, 267.75, 19159840, 51395.00
12-Jul-2018, ICICIBANK, EQ, 270.40, 273.70, 269.05,         271.60, 272.30, 15837704, 43034.33
11-Jul-2018, ICICIBANK, EQ, 274.55, 274.90, 267.50,         268.70, 268.75, 12717543, 34431.69
10-Jul-2018, ICICIBANK, EQ, 272.00, 275.95, 271.90,         273.20, 273.40, 14450561, 39610.78
09-Jul-2018, ICICIBANK, EQ, 273.90, 274.70, 270.00,         271.05, 271.20, 18374471, 50082.14
06-Jul-2018, ICICIBANK, EQ, 271.10, 271.95, 267.05,         270.15, 270.05, 26025797, 70220.25
05-Jul-2018, ICICIBANK, EQ, 273.00, 275.50, 270.75,         271.95, 271.55, 7505990, 20498.05
04-Jul-2018, ICICIBANK, EQ, 274.20, 274.85, 271.00,         273.25, 273.25, 8233522, 22453.65
03-Jul-2018, ICICIBANK, EQ, 275.90, 276.80, 272.20,         273.25, 272.90, 14020388, 38487.16
02-Jul-2018, ICICIBANK, EQ, 274.00, 279.90, 271.00,         277.30, 277.40, 69733139, 191401.00



